region,tasa_pobreza_ingresos_2024,ingreso_autonomo_promedio_hogar_clp_2024,tasa_morosidad_cae_2023,morosos_cae_n_2023
Arica y Parinacota,0.214332,1200748,0.711,6802
Tarapacá,0.208098,1430926,0.666,5823
Antofagasta,0.163877,1640396,0.655,8456
Atacama,0.185774,1279468,0.658,4097
Coquimbo,0.206740,1111284,0.657,17651
Valparaíso,0.177890,1236410,0.648,46104
Metropolitana,0.133408,1882236,0.613,222634
O'Higgins,0.178550,1132312,0.619,25959
Maule,0.243408,893886,0.631,32326
Ñuble,0.238984,968350,0.617,980
Biobío,0.192736,1190036,0.668,70160
La Araucanía,0.285906,908238,0.672,25525
Los Ríos,0.222701,1089772,0.681,12027
Los Lagos,0.164770,1148900,0.674,25130
Aysén,0.143337,1477882,0.654,1789
Magallanes,0.099403,1607808,0.665,3491
